product_id,product_name_cn,product_name_en,parameter_name,parameter_value,unit,source_url,source_type,source_language,source_date,quote_excerpt,extraction_method,confidence_rating,notes
shaped_001,高铝砖,High Alumina Brick,Al2O3含量 / Al2O3 Content,48%-85%,%,https://baike.mysteel.com/doc/view/46927.html,行业百科,中文,2024-09-20,高铝砖含Al2O3量在48%以上,网页抓取,medium,分级范围LZ-48到LZ-80
shaped_001,高铝砖,High Alumina Brick,耐火度 / Refractoriness,1750-1790,°C,https://baike.mysteel.com/doc/view/46927.html,行业百科,中文,2024-09-20,耐火度一般为1750~1790℃,网页抓取,medium,属于高级耐火材料
shaped_001,高铝砖,High Alumina Brick,荷重软化温度 / Load Softening Temperature,1400-1520,°C,https://baike.mysteel.com/doc/view/46927.html,行业百科,中文,2024-09-20,荷重软化温度一般1400-1520℃,网页抓取,medium,高温性能良好
shaped_001,高铝砖,High Alumina Brick,分级标准 / Grade Standard,LZ-80|LZ-75|LZ-65|LZ-55|LZ-48,,https://baike.mysteel.com/doc/view/46927.html,行业百科,中文,2024-09-20,按理化指标分为五个牌号,网页抓取,high,国标分级系统
shaped_001,高铝砖,High Alumina Brick,执行标准 / Standard,GB/T 2988-2023,,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=2309443E0AF0571A2DCAEBBC668A74F2,国家标准,中文,2024-03-01,,,网页抓取,high,现行国家标准
shaped_001,高铝砖,High Alumina Brick,体积密度 / Bulk Density,,,,,,,,,low,未查到具体数值范围
shaped_001,高铝砖,High Alumina Brick,显气孔率 / Apparent Porosity,,,,,,,,,low,未查到具体数值范围
shaped_001,高铝砖,High Alumina Brick,常温耐压强度 / Cold Crushing Strength,,,,,,,,,low,未查到具体数值范围
unshaped_003,刚玉质耐火浇注料,Corundum Castable,Al2O3含量 / Al2O3 Content,>90%,%,多个厂家网站,厂家资料,中文,2024-09-20,以刚玉为主晶相Al2O3含量大于90%,网页抓取,medium,高铝含量浇注料
unshaped_003,刚玉质耐火浇注料,Corundum Castable,Al2O3含量(高纯) / Al2O3 Content(High Purity),>98%,%,多个厂家网站,厂家资料,中文,2024-09-20,Al2O3含量大于98wt.%的耐火材料,网页抓取,medium,特高纯度等级
unshaped_003,刚玉质耐火浇注料,Corundum Castable,密度 / Density,2.7-2.9,g/cm³,多个厂家网站,厂家资料,中文,2024-09-20,刚玉浇注料密度从2.7-2.9不等,网页抓取,medium,密度范围
unshaped_003,刚玉质耐火浇注料,Corundum Castable,使用温度 / Service Temperature,1600-1700,°C,多个厂家网站,厂家资料,中文,2024-09-20,使用温度在1600-1700℃,网页抓取,medium,高温应用
unshaped_003,刚玉质耐火浇注料,Corundum Castable,主晶相 / Main Crystal Phase,α-Al2O3,,多个厂家网站,厂家资料,中文,2024-09-20,其主晶相为α-Al2O3,网页抓取,high,矿物组成
unshaped_003,刚玉质耐火浇注料,Corundum Castable,导热系数 / Thermal Conductivity,,,,,,,,,low,未查到具体数值
unshaped_003,刚玉质耐火浇注料,Corundum Castable,抗压强度 / Compressive Strength,,,,,,,,,low,未查到具体数值
unshaped_003,刚玉质耐火浇注料,Corundum Castable,线变化率 / Linear Change,,,,,,,,,low,未查到具体数值
special_007,蓄热室耐火球,Regenerator Refractory Ball,Al2O3含量 / Al2O3 Content,>92%,%,搜索结果综合,行业资料,中文,2024-09-20,Al2O3含量通常在92%以上,网页抓取,low,基于搜索结果推断
special_007,蓄热室耐火球,Regenerator Refractory Ball,体积密度 / Bulk Density,3.6-3.8,g/cm³,搜索结果综合,行业资料,中文,2024-09-20,体积密度一般为3.6-3.8g/cm³,网页抓取,low,基于搜索结果推断
special_007,蓄热室耐火球,Regenerator Refractory Ball,显气孔率 / Apparent Porosity,<18%,%,搜索结果综合,行业资料,中文,2024-09-20,显气孔率通常控制在18%以下,网页抓取,low,基于搜索结果推断
special_007,蓄热室耐火球,Regenerator Refractory Ball,常温耐压强度 / Cold Crushing Strength,>350,MPa,搜索结果综合,行业资料,中文,2024-09-20,常温耐压强度可达350MPa以上,网页抓取,low,基于搜索结果推断
