product_id,product_name_cn,product_name_en,parameter_name,parameter_value,unit,source_url,source_type,source_language,source_date,quote_excerpt,extraction_method,confidence_rating,notes
shaped_001,高铝砖,High Alumina Brick,Al2O3含量 / Al2O3 Content,48%-85%,%,https://baike.mysteel.com/doc/view/46927.html,行业百科,中文,2024-09-20,高铝砖含Al2O3量在48%以上,网页抓取,medium,分级范围LZ-48到LZ-80
shaped_001,高铝砖,High Alumina Brick,耐火度 / Refractoriness,1750-1790,°C,https://baike.mysteel.com/doc/view/46927.html,行业百科,中文,2024-09-20,耐火度一般为1750~1790℃,网页抓取,medium,属于高级耐火材料
shaped_001,高铝砖,High Alumina Brick,荷重软化温度 / Load Softening Temperature,1400-1520,°C,https://baike.mysteel.com/doc/view/46927.html,行业百科,中文,2024-09-20,荷重软化温度一般1400-1520℃,网页抓取,medium,高温性能良好
shaped_001,高铝砖,High Alumina Brick,分级标准 / Grade Standard,LZ-80|LZ-75|LZ-65|LZ-55|LZ-48,,https://baike.mysteel.com/doc/view/46927.html,行业百科,中文,2024-09-20,按理化指标分为五个牌号,网页抓取,high,国标分级系统
shaped_001,高铝砖,High Alumina Brick,执行标准 / Standard,GB/T 2988-2023,,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=2309443E0AF0571A2DCAEBBC668A74F2,国家标准,中文,2024-03-01,,,网页抓取,high,现行国家标准
shaped_002,黏土砖,Clay Brick,Al2O3含量 / Al2O3 Content,30-48%,%,https://baike.baidu.com/item/粘土砖/5777599,百度百科,中文,2024-09-20,Al2O3含量为30~48%,网页抓取,medium,粘土砖主要成分
shaped_002,黏土砖,Clay Brick,SiO2含量 / SiO2 Content,50-60%,%,https://baike.baidu.com/item/粘土砖/5777599,百度百科,中文,2024-09-20,SiO2含量为50%~60%,网页抓取,medium,主要化学成分
shaped_002,黏土砖,Clay Brick,耐火度 / Refractoriness,1580-1750,°C,https://baike.baidu.com/item/粘土砖/5777599,百度百科,中文,2024-09-20,耐火度1580℃~1750℃,网页抓取,medium,随Al2O3/SiO2增大而提高
shaped_002,黏土砖,Clay Brick,荷重软化温度 / Load Softening Temperature,1250-1450,°C,https://baike.baidu.com/item/粘土砖/5777599,百度百科,中文,2024-09-20,荷重软化温度1250℃~1450℃,网页抓取,medium,变化范围较宽
shaped_002,黏土砖,Clay Brick,显气孔率 / Apparent Porosity,~30%,%,https://baike.baidu.com/item/粘土砖/5777599,百度百科,中文,2024-09-20,孔隙率约为30%,网页抓取,medium,物理性能指标
shaped_002,黏土砖,Clay Brick,抗压强度等级 / Compressive Strength Grade,MU30|MU25|MU20|MU15|MU10|MU7.5,MPa,https://baike.baidu.com/item/粘土砖/5777599,百度百科,中文,2024-09-20,分为6个强度等级,网页抓取,high,标准分级系统
shaped_003,硅砖,Silica Brick,SiO2含量 / SiO2 Content,94-98%,%,https://baike.mysteel.com/doc/view/46871.html,行业百科,中文,2024-09-20,SiO2含量在93-98%之间,网页抓取,high,酸性耐火材料
shaped_003,硅砖,Silica Brick,真密度 / True Density,≤2.35,g/cm³,https://baike.mysteel.com/doc/view/46871.html,行业百科,中文,2024-09-20,真密度2.35g/cm³,网页抓取,medium,质量控制指标
shaped_003,硅砖,Silica Brick,体积密度 / Bulk Density,1.8-1.95,g/cm³,https://baike.mysteel.com/doc/view/46871.html,行业百科,中文,2024-09-20,体积密度1.8-1.95g/cm³,网页抓取,medium,物理性能
shaped_003,硅砖,Silica Brick,荷重软化开始温度 / Load Softening Start Temperature,1620-1670,°C,https://baike.mysteel.com/doc/view/46871.html,行业百科,中文,2024-09-20,荷重软化开始温度1620-1670℃,网页抓取,medium,高温性能
shaped_003,硅砖,Silica Brick,耐火度 / Refractoriness,1670-1730,°C,https://baike.mysteel.com/doc/view/46871.html,行业百科,中文,2024-09-20,耐火度1670-1730℃,网页抓取,medium,使用温度参考
shaped_003,硅砖,Silica Brick,显气孔率 / Apparent Porosity,17-25%,%,https://baike.mysteel.com/doc/view/46871.html,行业百科,中文,2024-09-20,显气孔率17-25%,网页抓取,medium,物理性能指标
